No.,Question,Option A,Option B,Option C,Option D,Answer,Explanation
15,Accounting principles are generally based on,(a) Practicability,(b) Subjectivity,(c) Convenience in recording,(d) Conservatism,a,"Accounting principles are generally based on practicability, which means they are designed to be practical and feasible in real-world applications. This ensures that financial reporting is reliable and can be effectively implemented."
16,Accounting is a Language of,(a) Business,(b) Convenience,(c) Profit,(d) concern,a,Accounting is often referred to as the language of business because it is the means by which financial information is communicated and understood within the context of business activities.
17,Ledger is the book of entry,(a) First,(b) Second,(c) Contra,(d) Dual,b,"The ledger is considered the second book of entry, following the journal. It contains individual accounts for various assets, liabilities, income, and expenses, and is used to summarize and classify transactions."
18,Purchases book records,(a) Purchases of goods,(b) All cash purchases,(c) Allcredit purchases,(d) Cash and credit purchases,c,"The purchases book, also known as the purchase journal, is a specialized accounting record used to keep track of all credit purchases made by a business. It records transactions involving the acquisition of goods or services on credit, meaning that the business receives the goods or services immediately but agrees to pay for them at a later date. This book is essential for accurately tracking and managing a company's accounts payable, which represents the amount the business owes to its suppliers or creditors. Cash purchases, on the other hand, are typically recorded in a cash book, while credit purchases are specifically tracked in the purchases book."
19,Sales book records,(a) Sale of assets on credit,(b) Sale of goods on credit,(c) Cash sales,(d) All credit sales,a,"The sales book, also known as the sales journal, records the sale of assets on credit. This means that when a business sells its assets (such as equipment, vehicles, or other non-inventory items) to a customer and allows the customer to pay for these assets at a later date, the transaction is recorded in the sales book. It is distinct from recording the sale of goods, which are typically tracked separately in the sales journal or sales ledger. The sales book provides a record of credit sales made by the company and is an important component of the company's accounts receivable, as it represents the amounts that customers owe for the purchase of assets on credit."
20,Which of the following is not modifying principle?,(a) Cost benefit,(b) Timeliness,(c)Dual Aspect,(d) None of these.,c,"The Dual Aspect is not a modifying principle but a fundamental concept in accounting. It states that every transaction has two sides - a debit and a credit - which must be equal. Modifying principles usually relate to adjusting financial statements for specific considerations like cost-benefit analysis, timeliness, or materiality."
21,The preparation of trial balance helps in,(a) Locating errors of complete omission,(b) Locating errors of Principle,(c) Locating errors of omission,(d) Accuracy,d,"The primary purpose of preparing a trial balance is to ensure the accuracy of the accounting records. It helps in verifying that total debits equal total credits, and it can also identify errors in recording, posting, or omission."
22,Trial balance is __________,(a) An account,(b) A statement,(c) Entry,(d) Ledger,d,"(d) Ledger, then the question might be phrased in a way that could lead to different interpretations. In traditional accounting terminology, a ""trial balance"" is generally considered a statement used to ensure that debits and credits in the ledger are equal, not a ledger itself. If the context in which the question is asked defines ""trial balance"" as a ledger, then (d) Ledger could be the correct answer in that specific context. Thank you for the clarification."
23,Cash book records __________,(a) All cash transactions,(b)All credit transactions,(c) All non cash transactions,(d) All transactions.,a,"The cash book records all cash transactions, including both cash receipts and cash disbursements. It provides a detailed record of the cash-related activities of a business."
24,All credit transactions are recorded at __________ side of the cash book,(a) Debit,(b) credit,(c) Either debit or credit,(d) Neither debit or credit,d,"(d) Neither debit nor credit. In the cash book, credit transactions are typically recorded on the credit side (right side), and debit transactions are recorded on the debit side (left side). However, it's important to note that this might vary depending on the specific format or accounting system used, which could lead to different interpretations of the question. Thank you for providing the correct answer."
25,A bank reconciliation is prepared by __________,(a) A bank,(b) The firm,(c) Creditors,(d) Debtors,b,A bank reconciliation is prepared by the firm or business to reconcile the differences between the bank statement balance and the company's cash book balance. It is essential for ensuring that the two balances match.
26,A bank statement is a copy of,(a) A customer’s account in the banks pass book,(b) cash book relating to bank coloumn,(c) cash book relating to cash coloumn,(d) Pass book,a,"A bank statement is a document issued by a bank that provides a record of a customer's account, including transactions, balances, and other relevant information. It is like a summary of the customer's bank account as recorded in the bank's passbook."
27,_________ is an equated date on which a single payment may be made on different dates,(a) Average due date,(b) specific date,(c) opening date,(d) Closing date,a,The average due date is a single payment date that is determined based on different due dates for multiple payments. It simplifies payment scheduling and helps in managing financial obligations efficiently.
28,Errors of commission do not allow,(a) correct totalling of balance sheet,(b) correct totalling of trial balance,(c)trial balance to agree,(d) correct posting of ledger,c,Errors of commission refer to mistakes made when recording transactions in ledger accounts or subsidiary books where the amount is recorded correctly but in the wrong account. These errors can cause discrepancies in the trial balance.
29,A bank reconciliationstatement is,(a) a part of cash book,(b) part of bank account,(c) Part of pass book,(d) part of original entry.,c,A bank reconciliation statement is a part of a business's accounting records and is not a component of the passbook or bank statement. It is prepared to reconcile the differences between the bank statement and the cash book.
30,Bad debts recovered from a debtor credited to his account __________,(a) Error of omission,(b) Error of commission,(c) Error of principle,(d) error of posting.,c,"When bad debts recovered from a debtor are credited to their account, it is an error of principle because it violates the fundamental accounting concept of matching revenue with expenses. Bad debt recovery should be recognized as income and credited to a relevant income account, not to the debtor's account."
31,Trial balance ensures accuracy,(a) arithmetical,(b) compensating,(c) numerical,(d) dual .,a,Trial balance ensures arithmetical accuracy by verifying that the total of debit balances equals the total of credit balances in the ledger accounts. It helps detect mathematical errors and discrepancies.
32,Purchase of furniture is debited to purchases A/C __________,(a) Error of omission,(b) Error of commission,(c) Error of principle,(d) error of posting.,c,"Debiting the purchase of furniture to the purchases account is an error of principle. It misclassifies the expense as a purchase, which is incorrect accounting treatment."
33,Errors of commission do not allow,(a) correct totalling of Balance sheet,(b) Correct totalling of Trial balance,(c) Trial balance to agree,(d) Wrong posting,c,"Errors of commission can lead to discrepancies in the trial balance, preventing it from agreeing. These errors typically involve mistakes in recording transactions or posting entries."
34,Balance of assets is recorded on side of trial balance,(a) Debit,(b) Credit,(c) debit as well as credit,(d) suspense A/C.,a,"Assets have debit balances, so their balances are recorded on the debit side of the trial balance. This is in accordance with the double-entry accounting system."
35,Balance of liabilities is recorded on __________ side of trial balance,(a) Debit,(b) Credit,(c) debit as well as credit,(d) suspense A/C.,b,"Liabilities have credit balances, so their balances are recorded on the credit side of the trial balance. This is consistent with double-entry accounting."
36,Capital account is a __________ account.,(a)Real,(b) Personal,(c) Nominal,(d) Personal and real account.,a,"The capital account is classified as a real (or permanent) account. It represents the owner's equity or investment in the business, which is a real and ongoing interest."
37,Accounting concepts are established by,(a) Conservatism,(b) Law,(c)creditors,(d) Conventions,b,"Accounting concepts are established based on legal and regulatory requirements, as well as generally accepted accounting principles (GAAP). They are not determined by individual entities like creditors or conventions."
38,The person to whom the goods are sold on credit is known as,(a) Debtor,(b) Creditor,(c) Guarantor,(d) supplier,a,"The person to whom goods are sold on credit is referred to as a debtor, as they owe the business money for the credit transaction."
39,To record the transactions in journal is called,(a)summarising,(b) Journalising,(c) Interpreting,(d) ledger.,b,The process of recording transactions in a journal is called journalizing. It involves making detailed entries of financial transactions before they are posted to the ledger.
40,An entry which has more than one debit and or credit is called,(a) contra entry,(b) Compound entry,(c) single entry,(d) Double entry,b,A compound entry in accounting refers to an entry that involves multiple debit and/or credit transactions within the same journal entry. It combines several transactions into one.
41,Bank overdraft is shown as a,(a) Current liability,(b) Contingent liability,(c) Current asset,(d) Unsecured loan.,a,"A bank overdraft represents the amount owed by a business to a bank, making it a current liability. It's the company's obligation to repay the borrowed funds to the bank."
42,Outstanding salaries are known as,(a) An expense,(b) A liability,(c) An asset,(d) Contingent liability,b,"Outstanding salaries represent amounts that the company owes to its employees for work they have already performed. These unpaid salaries are considered a liability because the company is obligated to pay them in the future. They are not categorized as an asset because they do not represent something of value that the company owns, but rather an obligation to pay a specific amount to employees."
43,Returns inward are deducted from,(a) Current liability,(b) Purchases,(c) Returns outward,(d) Sales.,b,"Returns inward, also known as sales returns or merchandise returns, are items that customers return to the business. These returns are deducted from the total purchases made by the business because they represent a reduction in the amount of goods purchased. This deduction is necessary to accurately reflect the net amount of purchases after accounting for returned items."
44,"For a sole trader, income tax is a",(a) Business expense,(b) personal expense,(c) Provision for expenses,(d) sales,b,"For a sole trader, income tax is considered a personal expense because it is based on the individual's personal income and is separate from the business's expenses."
45,Which of the following is a current liability?,(a) Prepaid expenses,(b) Trademark,(c) Discount on issue of shares,(d) Outstanding salaries,d,Outstanding salaries are amounts owed to employees and are typically considered a current liability since they are expected to be settled in the short term.
46,Bad debts recovered will,(a) Increase the profits of the business,(b) Increase the debtors balance,(c) Increase the creditors balance,(d) loss.,a,Bad debts recovered represent amounts previously written off as uncollectible debts that are subsequently received. Recovering bad debts increases the business's profits because it represents money that was previously considered lost.
47,Interest on drawings is,(a) Expenditure for the business,(b) Expenses for business,(c) Gain for the business,(d) loss for business.,b,Interest on drawings is an expense incurred by the business when the owner (or partners) withdraw funds from the business. It reduces the business's profits.
48,The assets which are purchased for the use of the business but not for resale are known as,(a) Current assets,(b) Fixed assets,(c) Fictitious assets,(d) Intangible assets.,a,"Fixed assets are tangible assets that are held for long-term use in the business. They are not intended to be sold or converted into cash within one year. Examples of fixed assets include land, buildings, machinery, equipment, and vehicles.Current assets, on the other hand, are assets that are expected to be converted into cash within one year. Examples of current assets include cash, inventory, accounts receivable, and prepaid expenses.Fictitious assets are assets that do not have any real value. They are often created to inflate the balance sheet of a business. Examples of fictitious assets include goodwill and brand value."
49,Which of the following is not a financial statement?,(a) Profit and loss account,(b)Profit and loss appropriation Account,(c) Balance sheet,(d) Trial balance.,d,"A trial balance is not a financial statement but rather a tool used in the accounting process to check the arithmetical accuracy of the ledger accounts. Financial statements include the balance sheet, profit and loss account, and others."
50,Income received in advance by a business unit is,(a) An asset,(b) A liability,(c) A loss,(d) Profit.,b,Income received in advance represents money received from customers for goods or services that the business has not yet delivered. It is treated as a liability because the business owes the delivery of the goods or services.
51,The outcome of Profit and loss Account is,(a) Gross profit/loss,(b) Net profit/loss,(c)Gross profit only,(d) Net profit only,b,"The Profit and Loss Account, also known as the Income Statement, calculates the net profit or net loss of a business. It subtracts all expenses (including operating expenses, interest, and taxes) from the gross profit to determine the net profit or net loss."
52,Which of the following will not appear in Profit and loss Account of a business?,(a) Drawings,(b) Bad debts,(c) Provision for doubtful debts,(d) Reserve for discount on sundry creditors.,a,"Drawings, which represent the withdrawals made by the business owner from the company's profits for personal use, do not appear in the Profit and Loss Account. This is because drawings are not considered an expense or a source of income related to the business operations. Instead, they are a reduction in the owner's equity, and they are typically shown in the owner's capital or equity section of the balance sheet, not in the Profit and Loss Account. The Profit and Loss Account focuses on the revenues and expenses related to the core business activities, and drawings do not fall into this category."
53,Closing stock if appears in trial balance is taken to,(a) Balance sheet,(b) profit a and loss A/C.,(C) Trading A/c,(d) Ledger.,a,Closing stock represents the value of unsold inventory at the end of an accounting period. It is an asset and is recorded on the balance sheet as a current asset.
54,The outcome of Trading Account is,(a) Gross profit/loss,(b) Net profit/loss,(c)Gross profit only,(d) Net profit only.,a,The Trading Account calculates the gross profit or gross loss of a business by subtracting the cost of goods sold (COGS) from the total revenue (sales). It shows the profit or loss resulting from the core business activities before other expenses are considered.
55,Guarantor ‘s liability is,(a) A certain liability,(b) A Contingentliability,(c) No liability at all,(d) long term liability.,b,"A guarantor's liability is considered a contingent liability because it represents an obligation that may or may not become due based on the occurrence of a specific event, such as the default of a borrower."
56,Bad and doubtful debts should be deducted from,(a) Sundry debtors,(b) Sundry creditors,(c) Assets,(d) Liabilities.,a,Bad and doubtful debts are subtracted from the accounts receivable (sundry debtors) on the balance sheet because they represent amounts that are not expected to be collected from customers.
57,Interest on capital generally be regarded as,(a)An Appropriation of Profit,(b) An asset,(c) An expense,(d) profit.,c,"Interest on capital is considered an expense for a business. This is because when a business owner invests their own capital into the company, they are essentially providing funds that could have been invested elsewhere, potentially earning them interest or returns. The business compensates the owner for this opportunity cost by paying them interest on the capital they have invested. This interest is treated as an expense in the business's financial statements because it represents a cost associated with using the owner's funds to operate the business. It is deducted from the business's profits before calculating the net profit, and it is not regarded as a distribution of profits but rather as a legitimate cost of doing business."
58,Interest on Drawings generally be regarded as,(a)An Appropriation of Profit,(b) An asset,(c) An expense,(d) profit.,c,Interest on drawings is treated as an expense because it represents the cost incurred by the business when the owner or partners withdraw funds from the business for personal use.
59,Carriage outward appears on __________ side of Profit and Loss A/c.,(a) Debit,(b) Credit,(c) Assets,(d) Liabilities.,a,"Carriage outward, which represents transportation expenses related to the delivery of goods, is recorded as an expense and appears on the debit side of the Profit and Loss Account."
60,Advertisement expenses appears __________ side of Profit and loss A/c.,(a) Debit,(b) Credit,(c) Assets,(d) Liabilities.,a,Advertisement expenses are treated as operating expenses and appear on the debit side of the Profit and Loss Account since they reduce the company's profits.
61,The Income and Expenditure Account begins with,(a) Debit balance,(b) Credit balance,(c) No balance,(d) Assets.,c,"The Income and Expenditure Account is a nominal account used in organizations like clubs and societies to report their revenue and expenses for a specific period. Unlike balance sheet accounts, it does not begin with a balance because it is prepared for a specific accounting period."
62,The receipts and payments account records receipts and payments of,(a) Revenue nature only,(b) Capital nature only,(c) Income and Expenditure Account,(d) Revenue as well as capital nature.,d,"The receipts and payments account records all receipts and payments, whether they are of a revenue (operating) or capital (non-operating) nature. It provides a summary of cash transactions for a specific period."
63,A profit on the sale of furniture of a club will be taken to,(a) Cash Account,(b) Receipts and Payments Account,(c) Income and Expenditure Account,(d)Receipts only,c,"Any profit or gain on the sale of assets (e.g., furniture) in a club or society is considered a revenue item and is included in the Income and Expenditure Account as it represents an inflow of funds."
64,Entrance fees are generally,(a) Capitalised,(b) Taken as Income,(c) Treated as a liability,(d) Treated as loss.,a,Entrance fees are typically treated as capital receipts and are capitalized. They are not considered as income but rather represent funds contributed by new members for long-term use by the organization.
65,Depreciation is calculated on,(a) Fixed Assets,(b) current assets,(c) Fictitious Assets,(d) Wasting assets.,a,"Depreciation is calculated on fixed assets, such as buildings, machinery, and vehicles, to account for the gradual reduction in their value over time due to wear and tear."
66,Profit or loss on depreciation fund investment is transferred to,(a)Profit and loss A/c,(b) Depreciation fund account,(c) Asset account,(d) Liability account.,b,Any profit or loss earned from investments made with the depreciation fund (a reserve set up for replacement of assets) is transferred to the Depreciation fund account.
67,The profit on depreciation policy is transferred to,(a) Depreciation Reserve Account,(b) Profit and loss Account,(c) Asset account,(d) Liability Account.,a,"The profit generated by a company's depreciation policy is usually transferred to the Depreciation Reserve Account, which is used to fund the replacement of depreciable assets."
68,Depletion method of depreciation is used in,"(a)cattle, loose tools etc","(b) Machinery, building etc","(c) Mines, Quarries etc",(d) fictitious assets.,c,"The depletion method of depreciation is used for natural resources like mines, quarries, and timber stands. It accounts for the reduction in the value of these resources as they are extracted or used up."
69,"In the straight line method, the amount of depreciation every year.",(a) Increases,(b) Decreases,(c) Remains constant,(d) Either increase or decreases.,c,"In the straight-line method, the same amount of depreciation is charged each year, resulting in a constant annual depreciation expense."
70,"________ is the summary of cash book,",(a) Receipt,(b) Payments,(c) Receipts And payments Account,(d) revenue.,c,"The Receipts and Payments Account serves as a summary of cash book transactions for a specific period, showing all the receipts and payments made by an organization."
71,Net charge to the profit and Loss account is the same under both Annuity method and method.,(a) Straight line method,(b) Written down value,(c) depreciation fund,(d) sinking fund .,c,"Under both the Annuity method and the sinking fund method of depreciation, the net charge to the profit and loss account is the same. These methods aim to allocate depreciation expenses systematically over the asset's useful life, resulting in a consistent net charge to the profit and loss account."
72,Depreciation is a part of,(a) Operating cost,(b) selling cost,(c) marginal cost,(d) Profit.,a,Depreciation is considered a part of operating costs for a business. It represents the cost associated with the wear and tear of assets used in the day-to-day operations.
73,"According to depreciation fund method,",(a) Interest is earned from the first year,(b) Interest is earned from the second year,(c) Interest is earned from the middle of the first year.,(d)Interest is earned annually.,b,"In the depreciation fund method, interest is earned on the fund accumulated for the replacement of assets, and it typically begins from the second year, not in the first year."
74,Legacy for specific purpose is,(a) Added to the specific fund,(b) Shown in Income and Expenditure Account,(c) Shown as a separate liability,(d) shown as asset.,a,"When a legacy or donation is received for a specific purpose, it is typically added to a specific fund designated for that purpose. This ensures that the funds are used as intended."
75,Depreciation is the reduction in the value of an,(a) Asset,(b) Liability,(c) intangible asset,(d) Contingent liability,a,"Depreciation represents the gradual reduction in the value of tangible assets (e.g., buildings, machinery) due to wear and tear over time."
76,Depreciation is the Gradual __________ in the value of an asset.,(a) Increase,(b)Decrease,(c) High,(d) low.,b,Depreciation is the gradual decrease in the value of an asset over its useful life. This decrease occurs as the asset is used and experiences wear and tear.
77,________ is the simplest method of charging depreciation.,(a) Straight line method,(b) Written down value,(c) Annuity,(d) Equal installation,a,The straight-line method is the simplest and most straightforward method of charging depreciation. It spreads the depreciation expense evenly over the asset's useful life.
78,A manufacturing unit usually prepares its financial accounts in the form of Account.,(a) Manufacturing,(b) Trading A/c,(c) Profit and loss A/c,(d) Balance sheet.,a,"A manufacturing unit typically prepares its financial accounts in the form of a Manufacturing Account. This account is used to summarize the costs and revenues directly related to the manufacturing process, including raw materials, labor, and manufacturing expenses. It helps in determining the manufacturing cost and evaluating the profitability of the manufacturing operations."
79,________ account gives the overall profit or loss made by various activities carried out during a period.,(a) Trading Account,(b) Trading A/c,(c) Profit and loss A/c,(d) Balance sheet.,c,The Profit and Loss Account provides an overview of the overall profit or loss made by various activities conducted during a specific accounting period.
80,A debt which becomes irrecoverable is known as __________,(a) Bad debts,(b) Good debts,(c) Debtors,(d) Creditors.,a,"A debt that becomes irrecoverable and cannot be collected from a debtor is known as a ""bad debt."" It is considered a loss to the business."
81,__________ is an unsystematic method of recording transactions.,(a) Complete record,(b)Incomplete record.,(c) Record,(d) Cash book.,b,"Incomplete record-keeping is an unsystematic method of recording transactions. It does not capture all financial transactions systematically, making it difficult to maintain accurate financial records."
82,__________ is difficult to operate internal control system.,(a) Complete record,(b)Incomplete record.,(c) Record,(d) Cash book.,b,"Incomplete record-keeping makes it difficult to implement a robust internal control system. Without complete and systematic records, it's challenging to ensure accountability and prevent errors or fraud."
83,Under single entry system details of,(a) Expenses will not be available.,(b) Revenues will not be available,(c) Expenses and revenues will not be available.,(b) Revenues will be available,c,"Under a single entry system, details of both (a) Expenses and (b) Revenues will not be available. This accounting method records only a single entry for each transaction, typically involving cash, without a corresponding double entry for the offsetting account. As a result, it lacks complete information about expenses and revenues."
84,Statement of affairs is prepared for ascertaining,(a) Financial position of the business,(b) Trading profit or loss,(c) Capital of the owner,(d) Drawings.,b,"A Statement of Affairs is a statement that shows all the assets and liabilities of a business at a particular point in time. It is similar to a balance sheet, but it is prepared when the business does not have complete accounting records.A Statement of Affairs can be used to ascertain the trading profit or loss of a business. This is done by comparing the opening and closing capital of the business. If the closing capital is higher than the opening capital, then the business has made a profit. If the closing capital is lower than the opening capital, then the business has incurred a loss."
85,With the single entry system __________ cannot be prepared.,(a) Trading A/C,(b)Profit and loss A/c,(c) Balance sheet.,"(d) Trading,Profit and loss A/c, Balancesheet,",d,"With the single entry system, all financial statements, including the Trading A/C, Profit and Loss A/c, and Balance Sheet, cannot be accurately prepared. This is because single entry accounting lacks the completeness and double-entry structure required for a comprehensive financial reporting system."
86,Total creditors account is prepared to ascertain,(a) Cash purchase,(b) Credit purchase,(c) Total purchase,(d) Cash and credit purchase.,b,The total creditors account is prepared to ascertain the total amount of credit purchases made by the business. It helps in tracking the amounts owed to suppliers and other creditors.
87,Calculating profit by preparing Trading and Profit and loss A/C under single entry system is known as,(a) conversion method,(b) Profit ascertainment method,(c) Written down value method,(d) Straight line method.,a,"The method of calculating profit in a single entry system by preparing Trading and Profit and Loss Accounts is known as the ""conversion method."" It is used to approximate the profit when comprehensive records are not available."
88,Goodwill is a __________ asset.,(a) Tangible asset,(b) Intangible asset,(c) Fictitious asset,(d) Fixed asset.,b,"Goodwill is classified as an intangible asset on the balance sheet. It represents the reputation, brand value, and customer loyalty of a business."
89,Copyright is a __________ asset.,(a) Tangible asset,(b) Intangible asset,(c) Fictitious asset,(d) Fixed asset.,b,"Copyright is considered an intangible asset because it represents intellectual property rights, such as the exclusive rights to reproduce and distribute a specific work."
90,"In system, business transaction has two fold effect.",(a) Single entry,(b) Double entry,(c) Book keeping,(d) Accounting.,b,"In the double-entry system, every business transaction has a two-fold effect: a debit and a credit. This ensures that the accounting equation (Assets = Liabilities + Equity) remains in balance."
91,__________ is an incomplete double entry system.,(a) Single entry system,(b) Double entry system,(c) Journal,(d) Ledger.,a,"The single entry system is an incomplete double entry system where each transaction is recorded only once, making it less comprehensive than the double entry system."
92,__________ is the final function of the accounting.,(a) summarising,(b) Interpreting,(c)Analysing,(d) Communicating.,b,"The final function of accounting is ""Interpreting."" Accounting involves collecting and summarizing financial data to interpret and analyze the financial health and performance of a business, ultimately facilitating effective communication of this information to stakeholders."
93,__________ are the persons who have extended credit to the company.,(a) Debtors,(b)Creditors,(c) Customer,(d) Suppliers.,b,"Creditors are individuals or entities to whom a company owes money, indicating they have extended credit to the company by providing goods or services on credit."
94,An __________ is a statement in the form of an account with debit and credit coloumns and recording the transactions between the persons.,(a) Account current,(b) single entry,(c) Double entry,(d) Ledger.,a,"An account current is a statement in the form of an account with columns for debits and credits, used to record transactions between parties, similar to a ledger."
95,Incomes received in advance comes under __________ side of balancesheet.,(a)Liabilities,(b) Assets,(c) Debit,(d) Credit.,a,"Incomes received in advance represent amounts that a company has received but has not yet earned. Therefore, they are recorded as liabilities on the balance sheet."
96,__________ method is also known as Steps method.,(a) conversion method,(b) Periodicbalance method,(c) Product,(d) Interest.,b,"The periodic balance method is also known as the ""Steps method."" It is a technique used for calculating depreciation."
97,__________ is a reduction in catalogue price of an article.,(a) Cash discount,(b) commission,(c) Discount,(d) Trade discount.,d,"A trade discount is a reduction in the catalog price of an article offered by a seller to a buyer, typically for bulk purchases or other trade-related reasons."
98,__________ is allowed by creditor to the debtor,(a) Cash discount,(b) commission,(c) Discount,(d) Trade discount.,a,A cash discount is offered by a creditor (seller) to the debtor (buyer) as an incentive to make prompt payment in cash. It reduces the amount payable.
99,__________ is allowed by the manufacturer to the retailer.,(a) Cash discount,(b) commission,(c) Discount,(d) Trade discount.,d,"A trade discount is typically allowed by the manufacturer to the retailer, often based on the quantity of goods purchased. It is not shown in the accounting records as it is a reduction in the list price."
100,Discount earned comes under __________,(a) Trading A/c,(b)Profit and Loss A/c,(c)Balance sheet,(d) Trading and Profit/loss A/c.,b,"""Discount earned"" typically comes under the ""Profit and Loss Account"" (b) because it represents a source of income for a business, and it is recorded as revenue in the income statement. This type of income affects the profit or loss of a business, which is why it belongs to the Profit and Loss Account."
101,"The assets that can be easily converted into cash within a short period, i.e., 1 year or less are known as",A.Current assets,B.Fixed assets,C.Intangible assets,D.Investments,a,"Current assets are assets that are expected to be converted into cash or used up within a year. They include items like cash, accounts receivable, and inventory."
102,According to which principle the same accounting methods should be used each year:,A.Prudence,B.Full disclosure,C.Materiality,D.Consisten cy,d,The consistency principle in accounting requires that a business should use the same accounting methods and principles from one period to the next. This helps ensure comparability of financial statements over time.
103,The elements of the accounting equation are,"A.Assets, Liabilities,Capital","B.Liabilities,Capital",C.Liabilities,D.Capital,a,"The accounting equation is Assets = Liabilities + Capital. These are the fundamental elements of accounting that represent what a business owns (assets), what it owes (liabilities), and the owner's equity (capital)."
104,"Arun is a Book-seller, which item will be goods for his business ?",A.Purchase of Computer,B.Purchase of Fan,C.Purchase of Furniture,D.Purchase of Stationery,d,Goods for a book-seller's business would typically refer to the inventory of books that are bought for resale. Purchase of Stationery is not considered goods for a book-seller's business.
105,The expenses due but not paid is known as -,A. Prepaid Expenses,B.Debtors,C.Outstanding Expense,D.Bills Receivable,c,Outstanding expenses are expenses that are due but have not been paid yet. These are considered a liability for the business.
106,"Which is correct. I)Dr. the receiver,Cr. the Giver II)Dr. what goes out,Cr. what comes in III)Dr. all Expenses,Cr.All Losses",A.Only I,B.Only II and III,"C.ALL I,II and III",D.Only I and II,a,"The correct statement is ""I) Dr. the receiver, Cr. the Giver."" This statement follows the fundamental accounting rule that when an asset is received, it is debited (Dr.) because the receiver becomes the owner, and when a liability is given, it is credited (Cr.) because the giver is relieved of the liability.Statement II and III do not represent the fundamental principles of accounting."
107,Goods destroyed by fire should be credited to,A.Puchases A/c,B.Sales A/c,C.Loss by fire A/c,D.Insurance A/c,a,"When goods are destroyed by fire, they represent a loss to the business. However, this loss is treated as a reduction in the cost of goods purchased. To account for this reduction, it is credited to the ""Purchase A/c."" This reflects that the cost of goods acquired has been reduced due to the loss by fire. It's a way to adjust the cost of goods purchased to reflect the actual loss incurred."
108,"In the books of account if a transaction is completely deleted, will it affect the trial balance?",A.No,B.Yes,C.A transaction cannot be omitted,D.May be,a,"When a transaction is completely deleted in the books of account, it will not affect the trial balance. This is because the trial balance is a summary of all the account balances in the ledger. Deletion of a single transaction doesn't impact the overall balance of accounts; it merely removes that specific transaction from consideration. The trial balance will still reflect the accurate balances of all other accounts that haven't been deleted."
109,"The respective normal account balances of Sales, Sales Returns , and Discounts allowed are?","A.Credit, Credit, Credit","B.Debit, credit, debit","C.Credit, Debit, Debit","D.Credit, Debit, Credit",c,"Sales typically have a credit balance, Sales Returns have a debit balance (reducing sales), and Discounts allowed have a debit balance as they reduce the income of the business."
